Dist|GV|Vcmb
50.58|4638|4109
73.79|4979|4454
117.49|6974|6447
97.72|7112|6583
81.66|6477|5988
0.96|-45|-441
134.28|9739|9427
86.3|7808|7280
103.28|6568|6109
71.12|5680|5175
115.88|8063|7539
127.06|8758|8267
105.2|7376|6910
206.06|11391|10871
13.68|1213|694
92.47|12088|11584
92.04|7444|6917
20.32|1038|520
109.14|6574|6055
118.58|11829|11708
29.24|2484|1959
108.64|10425|10310
155.6|11061|10944
167.49|11804|11682
106.66|8124|7616
48.08|4629|4103
78.7|5225|4730
42.07|5169|4645
44.46|3254|2760
105.68|6290|5793
94.62|6437|5940
100.46|7483|7095
162.93|10309|10185
143.88|10621|10490
142.56|9740|9274
103.75|7719|7193
86.3|6791|6267
103.75|7743|7218
95.94|5500|5010
71.45|5397|4897
108.14|8064|7543
77.62|5436|4947
109.14|9630|9508
83.56|5606|5093
65.46|5564|5052
74.13|4742|4218
88.31|7733|7209
75.16|5282|4761
80.91|5091|4571
75.51|8961|8438
44.06|4827|4303
3.21|214|-40
19.5|1502|1210
106.17|6790|6529
111.69|9957|9837
65.46|4759|4237
5.73|1024|509
59.43|5024|4505
67.61|4526|4004
105.68|6820|6552
112.2|8507|7986
34.83|1715|1720
53.7|4750|4228
7.67|577|250
86.7|5948|5793
145.21|7246|6725
68.55|4773|4252
100.46|8038|7517
63.39|4991|4474
77.62|4965|4448
156.31|10436|9915
112.72|7844|7582
84.72|8233|7713
69.82|6170|5680
141.25|8229|7709
54.95|4693|4173
171.4|10926|10407
65.16|6499|5995
113.24|7584|7065
130.62|7820|7301
87.9|6126|5608
124.74|7323|6806
6.64|494|158
73.79|5970|5480
48.31|4078|3617
89.95|5564|5051
1.99|96|-116
1.96|29|-239
46.34|4368|3859
83.56|5624|5120
66.07|5063|4548
58.61|4124|3637
75.86|5260|4764
43.65|3243|2884
93.76|5808|5324
108.14|7391|6961
58.61|5030|4516
84.33|6230|5715
18.62|1300|803
77.98|5975|5460
60.53|5384|4875
58.61|4645|4132
87.9|7632|7299
116.41|9872|9550
44.46|3794|3364
96.38|7775|7272
134.28|8862|8784
67.61|5864|5379
0.74|-131|-563
48.98|6071|5561
83.56|5654|5144
76.21|5904|5394
70.15|5910|5399
83.18|6395|5885
56.75|5446|4941
56.23|6362|5852
89.13|5981|5471
106.66|6802|6292
95.94|7212|6701
